rowId,proposedDraftId,displayNameDraft,sourceLayer,triggerMetricDirection,humanSeverityLabel,severityLevelDraft,severityExperience,thresholdDraftMin,thresholdDraftMax,thresholdStatus,scoreMultiplierDraft,scoreMultiplierStatus,feedbackIntensityDraft,feedbackIntensityStatus,notThis,preferenceNotes,enabled,reviewStatus,canEnterGeneratedSeverity,canEnterShadow,canAffectRuntime,canChangeGoldenExpected,nextRequiredGate
SEV-R1-001,taste_sweet_overload,甜度过载,taste,sweetnessLoad,light / 轻度,light_draft,明显偏甜，但仍可能被高甜偏好客群接受。,,,illustrative_only_notApproved,blank / TBD,blank_tbd_notApproved,mild_draft,draft_notApproved,不是糖浆 / 蜂蜜 / 果酱专属事故；不是所有高甜都差。,高甜可能是部分客群偏好，轻度不应自动重罚。,false,dry_run_notApproved,false,false,false,false,user + ChatGPT review before any real CSV / JSON / validator / generated severity
SEV-R1-002,taste_sweet_overload,甜度过载,taste,sweetnessLoad,medium / 中度,medium_draft,甜味压住茶 / 奶 / 果味，喝完有明显腻感。,,,illustrative_only_notApproved,blank / TBD,blank_tbd_notApproved,clear_draft,draft_notApproved,不是单一甜味来源事故；不是普通甜口饮品。,保留 future customer tolerance / preference 空间。,false,dry_run_notApproved,false,false,false,false,user + ChatGPT review before any real CSV / JSON / validator / generated severity
SEV-R1-003,taste_sweet_overload,甜度过载,taste,sweetnessLoad,heavy / 重度,heavy_draft,甜到像糖浆饮料，其他层次基本被盖掉。,,,illustrative_only_notApproved,blank / TBD,blank_tbd_notApproved,strong_draft,draft_notApproved,不是“喜欢甜”的客群偏好本身；不是 feedback 文案梗。,重度也需区分目标客群，但不能洗白失衡。,false,dry_run_notApproved,false,false,false,false,user + ChatGPT review before any real CSV / JSON / validator / generated severity
SEV-R1-004,taste_acid_overload,酸度过载,taste,acidityLoad,light / 轻度,light_draft,清爽偏酸，已经能感觉酸味偏前，但不一定是事故。,,,illustrative_only_notApproved,blank / TBD,blank_tbd_notApproved,mild_draft,draft_notApproved,不是清爽水果茶；不是柠檬专属机制。,light 行保留“可能成立，不一定是事故”的清爽果茶边界。,false,dry_run_notApproved,false,false,false,false,user + ChatGPT review before any real CSV / JSON / validator / generated severity
SEV-R1-005,taste_acid_overload,酸度过载,taste,acidityLoad,medium / 中度,medium_draft,明显太酸，酸味开始压住甜味、茶感或奶感。,,,illustrative_only_notApproved,blank / TBD,blank_tbd_notApproved,clear_draft,draft_notApproved,不是山楂 / 百香果等酸源专属事故。,需避免把正常果酸饮品误伤为事故。,false,dry_run_notApproved,false,false,false,false,user + ChatGPT review before any real CSV / JSON / validator / generated severity
SEV-R1-006,taste_acid_overload,酸度过载,taste,acidityLoad,heavy / 重度,heavy_draft,酸度爆炸，入口刺激感强，整杯被酸味接管。,,,illustrative_only_notApproved,blank / TBD,blank_tbd_notApproved,strong_draft,draft_notApproved,不是风味身份冲突；不是 novelty / weirdness。,重酸仍可能有小众偏好，但不等于正常清爽。,false,dry_run_notApproved,false,false,false,false,user + ChatGPT review before any real CSV / JSON / validator / generated severity
SEV-R1-007,taste_bitter_overload,苦味过载,taste,bitternessLoad,light / 轻度,light_draft,苦味明显，但可能像浓茶 / 咖啡风格。,,,illustrative_only_notApproved,blank / TBD,blank_tbd_notApproved,mild_draft,draft_notApproved,不是所有苦味都不好；不是茶事故。,咖啡、浓茶或苦味偏好客群可能接受更高苦味。,false,dry_run_notApproved,false,false,false,false,user + ChatGPT review before any real CSV / JSON / validator / generated severity
SEV-R1-008,taste_bitter_overload,苦味过载,taste,bitternessLoad,medium / 中度,medium_draft,苦味压住甜、奶或风味层次，普通客群会觉得偏难喝。,,,illustrative_only_notApproved,blank / TBD,blank_tbd_notApproved,clear_draft,draft_notApproved,不是咖啡 / 抹茶 / 可可专属机制。,需保留苦味爱好者 tolerance，但不按原料来源拆机制。,false,dry_run_notApproved,false,false,false,false,user + ChatGPT review before any real CSV / JSON / validator / generated severity
SEV-R1-009,taste_bitter_overload,苦味过载,taste,bitternessLoad,heavy / 重度,heavy_draft,苦到整杯发硬，其他体验被苦味统治。,,,illustrative_only_notApproved,blank / TBD,blank_tbd_notApproved,strong_draft,draft_notApproved,不是客群 tolerance 本身；不是单一原料比例 if。,高苦偏好不等于所有重度苦味都成立。,false,dry_run_notApproved,false,false,false,false,user + ChatGPT review before any real CSV / JSON / validator / generated severity
SEV-R1-010,taste_astringency_overload,涩感 / 收敛感过强,taste / special sensation boundary,astringencyLoad,light / 轻度,light_draft,轻微发干，像茶感偏强的收敛尾巴。,,,illustrative_only_notApproved,blank / TBD,blank_tbd_notApproved,mild_draft,draft_notApproved,不是苦味过载；不是茶类专属事故。,保留 taste / special sensation boundary，最终 source family 后续再审。,false,dry_run_notApproved,false,false,false,false,user + ChatGPT review before any real CSV / JSON / validator / generated severity
SEV-R1-011,taste_astringency_overload,涩感 / 收敛感过强,taste / special sensation boundary,astringencyLoad,medium / 中度,medium_draft,明显涩感，口腔发紧，喝完有刮舌感。,,,illustrative_only_notApproved,blank / TBD,blank_tbd_notApproved,clear_draft,draft_notApproved,不是辣 / 麻 / 酒精灼烧；不是 generic strong stimulation umbrella。,需与特殊刺激子通道保持边界。,false,dry_run_notApproved,false,false,false,false,user + ChatGPT review before any real CSV / JSON / validator / generated severity
SEV-R1-012,taste_astringency_overload,涩感 / 收敛感过强,taste / special sensation boundary,astringencyLoad,heavy / 重度,heavy_draft,强收敛感，像口腔被抽干，刮舌明显。,,,illustrative_only_notApproved,blank / TBD,blank_tbd_notApproved,strong_draft,draft_notApproved,不是按红茶 / 乌龙 / 咖啡拆机制。,不按单一茶类或具体原料创建机制。,false,dry_run_notApproved,false,false,false,false,user + ChatGPT review before any real CSV / JSON / validator / generated severity
SEV-R1-013,texture_low_drinkability,水泥感 / 粉泥感 / 低流动性,texture / drinkability,lowFlowPenalty,light / 轻度,light_draft,轻微粉感 / 沙感，流动性还在，但喝起来有粉浆尾巴。,,,illustrative_only_notApproved,blank / TBD,blank_tbd_notApproved,mild_draft,draft_notApproved,不是小料固体很多；不是奶脂油腻；不是糖浆胶质黏稠。,轻微粉感可作为同一机制低 severity 表现，不拆 accidentTypeId。,false,dry_run_notApproved,false,false,false,false,user + ChatGPT review before any real CSV / JSON / validator / generated severity
SEV-R1-014,texture_low_drinkability,水泥感 / 粉泥感 / 低流动性,texture / drinkability,lowFlowPenalty,medium / 中度,medium_draft,粉泥感明显，喝着费劲，吸管开始像在搬运糊状物。,,,illustrative_only_notApproved,blank / TBD,blank_tbd_notApproved,clear_draft,draft_notApproved,不是芋泥 / 奥利奥 / 粉类来源专属事故；不是 standalone straw resistance mechanism。,与固体小料、奶脂油腻、糖浆胶质黏稠保持区分。,false,dry_run_notApproved,false,false,false,false,user + ChatGPT review before any real CSV / JSON / validator / generated severity
SEV-R1-015,texture_low_drinkability,水泥感 / 粉泥感 / 低流动性,texture / drinkability,lowFlowPenalty,heavy / 重度,heavy_draft,水泥感，几乎吸不上来，饮用性被粉泥 / 糊状结构压垮。,,,illustrative_only_notApproved,blank / TBD,blank_tbd_notApproved,strong_draft,draft_notApproved,不是八宝粥感；不是“料多但还能喝”的固体负载。,重度才接近吸不上来，但仍不是 standalone straw resistance。,false,dry_run_notApproved,false,false,false,false,user + ChatGPT review before any real CSV / JSON / validator / generated severity
SEV-R1-016,texture_solid_overload,八宝粥感 / 固体小料负载过高,texture / drink structure,solidLoad,light / 轻度,light_draft,小料略多，咀嚼感强，但仍像饮品。,,,illustrative_only_notApproved,blank / TBD,blank_tbd_notApproved,mild_draft,draft_notApproved,不是粉泥低流动性；不是水泥感。,小料多可能是偏好，轻度不应自动当事故。,false,dry_run_notApproved,false,false,false,false,user + ChatGPT review before any real CSV / JSON / validator / generated severity
SEV-R1-017,texture_solid_overload,八宝粥感 / 固体小料负载过高,texture / drink structure,solidLoad,medium / 中度,medium_draft,像甜品碗，喝一口要嚼很久，液体支撑开始不够。,,,illustrative_only_notApproved,blank / TBD,blank_tbd_notApproved,clear_draft,draft_notApproved,不是珍珠 / 芋圆 / 布丁等具体小料专属事故。,明确“小料多不一定吸不上来”。,false,dry_run_notApproved,false,false,false,false,user + ChatGPT review before any real CSV / JSON / validator / generated severity
SEV-R1-018,texture_solid_overload,八宝粥感 / 固体小料负载过高,texture / drink structure,solidLoad,heavy / 重度,heavy_draft,八宝粥感，饮品形态被固体小料压垮，像在吃而不是喝。,,,illustrative_only_notApproved,blank / TBD,blank_tbd_notApproved,strong_draft,draft_notApproved,不等于一定吸不上来；不是奶脂油腻或糖浆胶质黏稠。,可与低可饮用性同时出现，但机制边界不同。,false,dry_run_notApproved,false,false,false,false,user + ChatGPT review before any real CSV / JSON / validator / generated severity
